sourceTaxonName,sourceTaxonRank,sourceTaxonSpeciesName,interactionTypeName,targetTaxonName,targetTaxonRank,targetTaxonSpeciesName,decimalLatitude,decimalLongitude,localityId,localityName,interaction_pair,interaction_pair_fraction,patch_name
Brycon amazonicus,species,Brycon amazonicus,eats,Byrsonima japurensis,species,Byrsonima japurensis,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Byrsonima japurensis,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Oxandra leucodermis,species,Oxandra leucodermis,-1.275555,-69.73055,Caqueta,Colombia,Mylossoma duriventris_Oxandra leucodermis,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Ficus americana,species,Ficus americana,-1.1451111,-69.487222,Apaporis,Colombia,Ficus americana_Myloplus rubripinnis,1.0505989464593764e-06,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus rubripinnis_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Bactris riparia,species,Bactris riparia,-1.1451111,-69.487222,Apaporis,Colombia,Bactris riparia_Myloplus rubripinnis,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Quiina amazonica,species,Quiina amazonica,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus torquatus_Quiina amazonica,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Trichilia rubra,species,Trichilia rubra,-1.1451111,-69.487222,Apaporis,Colombia,Brycon melanopterus_Trichilia rubra,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus asterias_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Alchornea discolor,species,Alchornea discolor,-1.1451111,-69.487222,Apaporis,Colombia,Alchornea discolor_Myloplus asterias,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Nectandra oppositifolia,species,Nectandra oppositifolia,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Nectandra oppositifolia,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Byrsonima japurensis,species,Byrsonima japurensis,-1.1451111,-69.487222,Apaporis,Colombia,Brycon melanopterus_Byrsonima japurensis,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Cecropia latiloba,species,Cecropia latiloba,-1.275555,-69.73055,Caqueta,Colombia,Cecropia latiloba_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Trichilia rubra,species,Trichilia rubra,-1.1451111,-69.487222,Apaporis,Colombia,Brycon amazonicus_Trichilia rubra,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon amazonicus,species,Brycon amazonicus,eats,Amaioua guianensis,species,Amaioua guianensis,-1.1451111,-69.487222,Apaporis,Colombia,Amaioua guianensis_Brycon amazonicus,1.0505989464593764e-06,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Euterpe precatoria,species,Euterpe precatoria,-1.275555,-69.73055,Caqueta,Colombia,Euterpe precatoria_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon falcatus,species,Brycon falcatus,eats,Psychotria lupulina,species,Psychotria lupulina,-1.1451111,-69.487222,Apaporis,Colombia,Brycon falcatus_Psychotria lupulina,5.252994732296882e-07,Patch_-5_0_-72_-68
Mylossoma duriventris,species,Mylossoma duriventris,eats,Cayaponia cruegeri,species,Cayaponia cruegeri,-1.275555,-69.73055,Caqueta,Colombia,Cayaponia cruegeri_Mylossoma duriventris,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus torquatus,species,Myloplus torquatus,eats,Cayaponia cruegeri,species,Cayaponia cruegeri,-1.275555,-69.73055,Caqueta,Colombia,Cayaponia cruegeri_Myloplus torquatus,5.252994732296882e-07,Patch_-5_0_-72_-68
Brycon melanopterus,species,Brycon melanopterus,eats,Cecropia distachya,species,Cecropia distachya,-1.1451111,-69.487222,Apaporis,Colombia,Brycon melanopterus_Cecropia distachya,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus rubripinnis,species,Myloplus rubripinnis,eats,Psychotria lupulina,species,Psychotria lupulina,-1.1451111,-69.487222,Apaporis,Colombia,Myloplus rubripinnis_Psychotria lupulina,5.252994732296882e-07,Patch_-5_0_-72_-68
Myloplus asterias,species,Myloplus asterias,eats,Cecropia distachya,species,Cecropia distachya,-1.1451111,-69.487222,Apaporis,Colombia,Cecropia distachya_Myloplus asterias,5.252994732296882e-07,Patch_-5_0_-72_-68
